startId:START_ID,endId:END_ID,type:TYPE,indicator
4146,5198,Sequential,
3181,7406,Action,makes
7406,4925,Conjunctive,and
4925,2125,Constraint,at
2125,251,Conjunctive,and
251,1098,Constraint,into
1098,2055,Constraint,to
2055,1098,Conjunctive,and
2055,1098,Action,places
1098,7881,Constraint,at
3181,4146,Constraint,by
3181,4146,Action,can be represented
5581,5753,Sequential,
5753,2458,Conjunctive,and
2458,3198,Sequential,
3198,5581,Action,represents
5581,2458,Sequential,
2458,4925,Constraint,of
4389,4511,Action,specifies
4511,7646,Constraint,as
6414,6358,Constraint,of
6358,876,Attribute,is
876,3181,Constraint,of
3181,4925,Sequential,
4925,2125,Constraint,AT
2125,2328,Sequential,
2740,880,Action,separates
880,5753,Constraint,into
5753,2891,Constraint,at
5689,4925,Sequential,
1917,6358,Constraint,as
1917,6358,Action,is represented
1917,6358,Action,follows
6358,7805,Constraint,that
6358,7805,Action,where requires
7805,2609,Conjunctive,or
2609,2740,Constraint,in
2609,2740,Action,be removed
2006,7881,Constraint,AT
7406,4925,Conjunctive,and
4925,2345,Action,store
2345,7406,Conjunctive,and
996,7406,Sequential,
7406,4925,Conjunctive,and
4925,1098,Constraint,into
4925,1098,Action,can be joined
7406,2507,Conjunctive,and
1121,1853,Action,has
4146,4825,Action,can insert
7504,6598,Sequential,
6598,1491,Sequential,
1676,1526,Constraint,to
1676,1526,Action,extract
1349,5460,Sequential,
5460,3616,Sequential,
3616,4911,Sequential,
4911,5513,Sequential,
5513,3393,Sequential,
3393,6574,Sequential,
6574,7416,Sequential,
2924,1491,Sequential,
1733,7410,Constraint,at
1733,7410,Action,exists
7410,1112,Constraint,of
1112,5121,Conjunctive,and
5121,4098,Action,has
4098,1733,Constraint,to
4098,1733,Action,delete
1733,2850,Constraint,by
1733,2850,Action,can be deleted
2850,6904,Sequential,
7504,6598,Sequential,
6598,1491,Sequential,
448,2538,Constraint,to
448,2538,Action,is used
448,2538,Action,change
2538,1112,Constraint,in
3445,7464,Sequential,
7199,7406,Constraint,of
7406,1195,Sequential,
1195,7199,Constraint,of
7199,7406,Constraint,of
7406,2860,Sequential,
7199,7406,Constraint,of
7516,4146,Constraint,by
7516,4146,Action,can be defined
4146,2911,Sequential,
2911,3215,Attribute,is
2597,7199,Constraint,by
2597,7199,Action,is represented
2597,7199,Action,CREATE
658,7199,Action,consider
7199,4237,Constraint,of
7199,4237,Action,consisting
3665,5365,Constraint,of
7199,2866,Constraint,over
2866,3181,Constraint,by
2866,3181,Action,using
3181,7693,Constraint,as
3181,7693,Action,follows
7693,5570,Attribute,is
7199,1349,Sequential,
7199,2866,Action,combining
2866,4406,Constraint,by
2866,4406,Action,joining
4406,2866,Constraint,from
4406,2866,Action,selected
2866,7199,Constraint,as
2866,7199,Action,follows
2866,7199,Action,CREATE
7199,1349,Sequential,
1258,317,Attribute,are
3740,488,Action,lists
488,4381,Constraint,in
488,4381,Action,required
7823,7406,Action,specifies
7406,1596,Constraint,to
7406,1596,Constraint,in
7406,1596,Action,be used
1491,7369,Sequential,
7369,456,Sequential,
456,158,Constraint,in
158,1853,Constraint,of
1853,4804,Conjunctive,and
4804,4589,Attribute,be
158,1853,Constraint,of
1853,4804,Conjunctive,and
1089,4661,Action,takes
3873,3431,Constraint,of
7416,7823,Sequential,
7823,5096,Constraint,that
7823,5096,Action,specifies
5096,569,Constraint,in
5096,569,Action,appearing
3617,1463,Constraint,in
3617,1463,Action,appears
1463,269,Sequential,
2860,5890,Constraint,on
2860,5890,Conjunctive,either
2860,5890,Action,can focus
5890,7049,Constraint,in
7049,6148,Conjunctive,or
6148,3250,Constraint,by
6148,3250,Action,specified
3250,2474,Constraint,at
6148,2040,Constraint,of
6148,2040,Action,consists
2040,3225,Constraint,of
1292,6404,Constraint,as
1292,7409,Attribute,can be constructed
6404,930,Sequential,
930,4899,Sequential,
4899,3686,Sequential,
3686,3894,Sequential,
2860,3429,Action,Find
3429,4455,Constraint,in
7461,1027,Constraint,as
7461,1027,Constraint,FROM
7461,1027,Action,can be expressed
7461,1027,Action,follows
7461,1027,Action,SELECT
1027,4899,Sequential,
4899,7461,Sequential,WHERE =
7461,3686,Conjunctive,&
3686,1751,Sequential,=
1853,5866,Attribute,is
5121,1526,Action,can accurately locate
6762,5121,Constraint,that
6762,5121,Attribute,is
5121,4951,Action,know
4951,7049,Constraint,of
7049,5121,Constraint,that
7049,5121,Conjunctive,or
5121,5614,Sequential,
5614,7052,Constraint,with
5614,7052,Action,consists
7052,3123,Constraint,on
5010,4726,Action,provides
4726,4951,Constraint,on
4951,6942,Constraint,of
7094,5965,Attribute,shows
5010,6383,Constraint,for
3225,7049,Constraint,in
7049,4877,Constraint,to
7049,4877,Action,correspond
